user_tag	1	2	3	4	5	6	7	8	9	10	11	12
D0144	28.0	35.0	41.0	50.0	39.0	78.0	69.0	26.0	38.0	27.0	36.0	39.0
D0148	109.0	208.0	204.0	172.0	136.0							34.0
D0152				218.0	187.0							
D0156	38.0	28.0	80.0	60.0	112.0						2.0	46.0
D0733	169.0	4.0	8.0	53.0	27.0	86.0	170.0	34.0	17.0	181.0	115.0	51.0
D0163	53.0	63.0	59.0	38.0	27.0		12.0	5.0	15.0	12.0	31.0	36.0
D0748	43.0	40.0	32.0	26.0	29.0	49.0	81.0	65.0	48.0	42.0	27.0	28.0
D0168	38.0	5.0	31.0	17.0	11.0			23.0	20.0	31.0	89.0	50.0
D0751	34.0	25.0	7.0	6.0	2.0	9.0	11.0	25.0	33.0	39.0	42.0	54.0
D0752	65.0	70.0	78.0	92.0	54.0	58.0	57.0	25.0	42.0	68.0	48.0	65.0
D0753	34.0	37.0	37.0	35.0	24.0	24.0	26.0	49.0	48.0	42.0	45.0	26.0
D0765				8.0	72.0	70.0	76.0	43.0	6.0			
D0171	11.0	22.0	13.0	12.0	12.0	1.0	13.0	40.0	13.0	24.0	13.0	12.0
D0768					58.0	73.0	129.0	150.0	45.0			
D0769	8.0	5.0	5.0	9.0	27.0	22.0	25.0	15.0	6.0	17.0	7.0	8.0
