user_tag	1	2	3	4	5	6	7	8	9	10	11	12
R1421	29.0	5.0	9.0	13.0	8.0	11.0	2.0	2.0	5.0	20.0	47.0	26.0
R0046	20.0	1.0	23.0	33.0	27.0	35.0	31.0	34.0	30.0	16.0	58.0	28.0
R6819	21.0	6.0			13.0	28.0	22.0	48.0	39.0	26.0	34.0	24.0
R7337	32.0	13.0	29.0	21.0	19.0	24.0	17.0	16.0	23.0	29.0	38.0	24.0
R6550	43.0	39.0	48.0	42.0	48.0	40.0	53.0	44.0	26.0	37.0	30.0	53.0
R2423									0.0	0.0		
R7635	38.0	6.0		31.0	52.0	68.0	99.0	70.0	85.0	59.0	67.0	32.0
R6434	37.0	27.0	12.0	23.0	18.0	51.0	21.0	36.0	43.0	34.0	25.0	50.0
R3960	38.0	0.0							30.0	68.0	8.0	29.0
R1139	57.0	24.0	25.0	36.0	47.0	38.0	35.0	40.0	23.0	23.0	27.0	34.0
R4294	177.0	65.0	29.0	49.0	71.0	85.0	190.0	152.0	248.0	98.0	102.0	69.0
R7048	64.0	52.0	48.0	72.0	57.0	44.0	70.0	26.0	79.0	68.0	59.0	47.0
R4028	6.0	15.0	7.0	1.0	1.0	1.0	5.0	4.0	5.0	8.0	0.0	3.0
R0219	116.0	61.0	93.0	46.0	49.0	63.0	66.0	38.0	27.0	17.0	45.0	43.0
R8101	7.0	1.0	6.0	7.0	3.0	16.0	7.0	8.0	5.0	7.0	16.0	6.0
R0203	256.0	22.0									237.0	224.0
R4653	32.0	45.0	47.0	28.0	29.0	24.0	36.0	34.0	26.0	29.0	38.0	44.0
R1775	52.0	24.0	95.0	82.0	40.0	14.0	45.0	42.0	39.0	27.0	35.0	43.0
R7338	118.0	20.0							152.0	101.0	150.0	113.0
R7056	4.0	1.0			2.0	9.0	5.0	9.0	7.0	8.0	8.0	5.0
R5242	0.0	0.0	1.0	0.0	0.0	1.0	0.0		0.0	0.0	0.0	1.0
R6212	30.0	27.0	36.0	34.0	36.0	32.0	69.0	26.0	47.0	66.0	47.0	42.0
R4656	53.0	8.0										
R7571	320.0	7.0									219.0	232.0
R2147	61.0	28.0	27.0	33.0	28.0	10.0	11.0	18.0	52.0	59.0	44.0	61.0
R3060	19.0	11.0	13.0	9.0	16.0	38.0	23.0	20.0	6.0	17.0	23.0	25.0
R3910	141.0	28.0									60.0	145.0
R3911	68.0	53.0	75.0	52.0	41.0	34.0	36.0	40.0	109.0	103.0	64.0	48.0
R7100		90.0	71.0					1.0		2.0	4.0	
R3268	196.0	50.0										
R5434	19.0	88.0	34.0	18.0	36.0	49.0	8.0	21.0	66.0	15.0	22.0	28.0
R3725	20.0	25.0	31.0	31.0	3.0	2.0	0.0	5.0	0.0		11.0	11.0
R1995	28.0	4.0		28.0	45.0	27.0	5.0	15.0	24.0	9.0	16.0	49.0
R0534	17.0	27.0	21.0	20.0	19.0	12.0	8.0	18.0	11.0	18.0	17.0	17.0
R3013	46.0	5.0	30.0	74.0	39.0	59.0	49.0	56.0	32.0	46.0	69.0	41.0
R8293	107.0	23.0	35.0	37.0	63.0	28.0	38.0	50.0	92.0	51.0	84.0	135.0
R2827	5.0	7.0	6.0	14.0	11.0	6.0	14.0	15.0	9.0	29.0	13.0	10.0
R6986	27.0	17.0	30.0	33.0	69.0	45.0	54.0	58.0	33.0	19.0	40.0	34.0
R1541	57.0	14.0						54.0	44.0	53.0	70.0	34.0
R3101	90.0	35.0	10.0	3.0	3.0	5.0	14.0	72.0	152.0	20.0	25.0	4.0
R4924	87.0	31.0	27.0	56.0	62.0	58.0	98.0	74.0	76.0	53.0	58.0	55.0
R2773	6.0	0.0	2.0	1.0	1.0	8.0	4.0	2.0	4.0	4.0	0.0	11.0
R8818				5.0	25.0	36.0	33.0	22.0	33.0	53.0	42.0	11.0
R2867	1.0		65.0	14.0	1.0			0.0		1.0		0.0
R8677	238.0	37.0									183.0	163.0
R7696	99.0	5.0									9.0	73.0
R2357	37.0	28.0	18.0	28.0	41.0	44.0	46.0	50.0	52.0	59.0	36.0	23.0
R8017	150.0	6.0							75.0	79.0	59.0	104.0
R6516	30.0	36.0	40.0	31.0	33.0	27.0	28.0	33.0	68.0	61.0	49.0	38.0
R7515	16.0	3.0										
R5211	108.0	7.0								52.0	74.0	60.0
R7413	41.0	51.0	45.0	57.0	46.0	53.0	35.0	32.0	28.0	64.0	21.0	41.0
R2895	25.0	19.0	31.0	20.0	14.0	9.0	25.0	15.0	44.0	41.0	32.0	16.0
