	gender	gender	age	age	age	age	org	org
	male	female	<=18	19-29	30-39	>=40	non-org	is-org
user_id								
D0488	0.006	0.9940000000000001	0.0002	0.0091	0.9833	0.0074	0.9996	0.0004
D0662	0.0007	0.9993	0.2807	0.563	0.1484	0.0078	0.998	0.002
D0437	0.4875	0.5125	0.6251	0.3125	0.0504	0.0121	0.9993	0.0007
D0845	0.0467	0.9533	0.1841	0.6683	0.0825	0.0651	0.9963	0.0037
D0909	0.996	0.004	0.0618	0.0786	0.0004	0.8591	1.0	0.0
D0476	0.9245	0.0755	0.6102	0.3594	0.0082	0.0222	0.9819	0.0181
D1199	0.006999999999999999	0.993	0.0978	0.7084	0.166	0.0278	0.9998	0.0002
D1090	0.9993	0.0007	0.1318	0.5293	0.161	0.1778	1.0	0.0
D0606	0.0281	0.9719	0.7899	0.1618	0.0312	0.0171	0.9994	0.0006
D1028	0.9171	0.0829	0.8847	0.1002	0.0031	0.012	0.9997	0.0003
D0571	0.0315	0.9685	0.1206	0.6593	0.0402	0.1799	1.0	0.0
D1163	0.0027	0.9973	0.4196	0.5716	0.0063	0.0025	1.0	0.0
D0837	0.0883	0.9117	0.2024	0.3721	0.3947	0.0309	0.9998	0.0002
D0764	0.9976	0.0024	0.6378	0.1669	0.1439	0.0514	1.0	0.0
D0448	0.9778	0.0222	0.1197	0.7544	0.1148	0.0111	1.0	0.0
D0546	0.001	0.9990000000000001	0.0006	0.0414	0.9494	0.0086	0.9999	0.0001
D0439	0.0153	0.9847	0.9334	0.0635	0.0021	0.0009	1.0	0.0
D0533	0.0206	0.9794	0.5439	0.3338	0.0955	0.0269	1.0	0.0
D0748	0.9996	0.0004	0.1658	0.3261	0.3123	0.1958	0.9991	0.0009
D0785	0.1063	0.8937	0.8703	0.1258	0.0013	0.0026	1.0	0.0
D0775	0.9807	0.0193	0.327	0.503	0.1491	0.021	1.0	0.0
D1047	0.0216	0.9784	0.3689	0.6213	0.0068	0.003	0.9996	0.0004
D1137	0.1037	0.8963	0.6201	0.3541	0.0116	0.0142	1.0	0.0
D0540	0.0135	0.9865	0.0737	0.035	0.8889	0.0024	0.9996	0.0004
D0810	0.5626	0.4374	0.308	0.5325	0.08	0.0796	0.9997	0.0003
D0518	0.1674	0.8326	0.1409	0.4747	0.1607	0.2236	0.9998	0.0002
D0523	0.001	0.9990000000000001	0.0049	0.0671	0.8708	0.0572	1.0	0.0
D0886	0.9856	0.0144	0.0839	0.5502	0.3172	0.0488	0.9993	0.0007
D0907	0.9937	0.0063	0.0008	0.0018	0.0004	0.997	0.9985	0.0015
D0661	0.9502	0.0498	0.1603	0.5088	0.1164	0.2145	0.9994	0.0006
D0016	0.0007	0.9993	0.5284	0.43	0.0063	0.0353	1.0	0.0
D0503	0.0112	0.9888	0.1078	0.5474	0.2997	0.0451	1.0	0.0
D1069	0.8891	0.1109	0.4726	0.4644	0.0531	0.0099	1.0	0.0
D0552	0.5901	0.4099	0.855	0.1327	0.006	0.0063	0.9991	0.0009
D0925	0.8538	0.1462	0.21100000000000002	0.7144	0.0163	0.0583	0.9872	0.0128
D0451	0.0057	0.9943	0.6589	0.3389	0.0007	0.0015	0.9999	0.0001
D0885	0.0051	0.9949	0.0049	0.1469	0.8449	0.0034	0.9998	0.0002
D0461	0.9856	0.0144	0.0215	0.3752	0.4913	0.11199999999999999	1.0	0.0
D1045	0.2426	0.7574	0.9525	0.0466	0.0007	0.0002	0.9999	0.0001
D0680	0.0028	0.9972	0.07	0.9103	0.018000000000000002	0.0017	1.0	0.0
D0471	0.6556	0.3444	0.8466	0.0898	0.0401	0.0235	0.9999	0.0001
D0781	0.1117	0.8883	0.9499	0.0491	0.0008	0.0002	1.0	0.0
D1150	0.0076	0.9924	0.0333	0.9083	0.012	0.0464	1.0	0.0
D0887	0.7913	0.2087	0.4512	0.3819	0.0736	0.0933	0.6633	0.3367
D0575	0.9996	0.0004	0.0197	0.6156	0.2136	0.1511	1.0	0.0
D0924	0.0587	0.9413	0.1035	0.0248	0.8572	0.0145	0.9997	0.0003
D1102	0.0445	0.9555	0.1978	0.4502	0.3494	0.0026	0.9585	0.0415
D0443	0.9991	0.0009	0.0044	0.0643	0.7117	0.2196	0.9972	0.0028
D0928	0.1247	0.8753	0.0215	0.9776	0.0008	0.0	1.0	0.0
D0683	0.0176	0.9824	0.2421	0.5864	0.1408	0.0308	0.9995	0.0005
D0853	0.9943	0.0057	0.0564	0.0701	0.1359	0.7376	0.9997	0.0003
D1166	0.0111	0.9889	0.0402	0.33299999999999996	0.0185	0.6083	0.9995	0.0005
D0474	0.0709	0.9291	0.1739	0.6687	0.0943	0.0631	0.9994	0.0006
D0231	0.0199	0.9801	0.5542	0.4214	0.0176	0.0068	0.9999	0.0001
D1098	0.015	0.985	0.0668	0.5422	0.3803	0.0107	1.0	0.0
D0639	0.9502	0.0498	0.0026	0.0091	0.0013	0.987	0.0911	0.9089
D0904	0.0728	0.9272	0.289	0.5524	0.1182	0.0405	0.9998	0.0002
D0896	0.0013	0.9987	0.0021	0.0067	0.9872	0.0039	0.9999	0.0001
